INFO:root:V = 34529  D = 18461
INFO:root:[ iteration ]  step 54
INFO:root:[ iteration ] l2-l1  -95313115.636 - -95314984.234 = 1868.598 
INFO:root:[ iteration ]  step 55
INFO:root:[ iteration ] l2-l1  -95311325.234 - -95313115.636 = 1790.402 
INFO:root:[ iteration ]  step 56
INFO:root:[ iteration ] l2-l1  -95309587.777 - -95311325.234 = 1737.457 
INFO:root:[ iteration ]  step 57
INFO:root:[ iteration ] l2-l1  -95307895.343 - -95309587.777 = 1692.434 
INFO:root:[ iteration ]  step 58
INFO:root:[ iteration ] l2-l1  -95306257.841 - -95307895.343 = 1637.502 
INFO:root:[ iteration ]  step 59
INFO:root:[ iteration ] l2-l1  -95304681.607 - -95306257.841 = 1576.234 
INFO:root:[ iteration ]  step 60
INFO:root:[ iteration ] l2-l1  -95303143.047 - -95304681.607 = 1538.560 
INFO:root:[ iteration ]  step 61
INFO:root:[ iteration ] l2-l1  -95301644.246 - -95303143.047 = 1498.801 
INFO:root:[ iteration ]  step 62
INFO:root:[ iteration ] l2-l1  -95300210.728 - -95301644.246 = 1433.518 
INFO:root:[ iteration ]  step 63
INFO:root:[ iteration ] l2-l1  -95298847.745 - -95300210.728 = 1362.983 
INFO:root:[ iteration ]  step 64
INFO:root:[ iteration ] l2-l1  -95297562.468 - -95298847.745 = 1285.277 
INFO:root:[ iteration ]  step 65
INFO:root:[ iteration ] l2-l1  -95296363.287 - -95297562.468 = 1199.181 
INFO:root:[ iteration ]  step 66
